mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,mode,mode,Stepwise Delayed DUC,text,,2026-05-19,metric.mode.md_70337b7cb07dd883,実行情報,mode,その他,,,,,mode
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,result,result,EXCEPTION,text,,2026-05-19,metric.result.md_0c414c8064ab8182,実行情報,result,その他,,,,,result
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,failure_reason,failure reason,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,text,,2026-05-19,metric.failure_reason.md_815f14cd21eae305,実行情報,failure reason,その他,,,,,failure reason
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_allowed_threads,allowed threads,8,threads,,2026-05-19,metric.threads.md_64a2797876e1dc6f,実行情報,threads,その他,,,,,threads
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_available_processors,available processors,8,processors,,2026-05-19,metric.processors.md_11c4b765ca1b141f,実行情報,processors,その他,,,,,processors
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_jvm_max_heap,JVM max heap,4294967296,B,,2026-05-19,metric.max_value.md_fb1bc5150f4ba5ce,実行情報,最大値,その他,,,,,最大値
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_java_version,Java version,16.0.1,text,,2026-05-19,metric.java_version.md_778a99db4ec06ae3,実行情報,Java version,その他,,,,,Java version
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_evaluation_profile,evaluation profile,paper,text,,2026-05-19,metric.evaluation_profile.md_9fe12345148d9139,実行情報,evaluation profile,その他,,,,,evaluation profile
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_java_vm_name,Java VM name,OpenJDK 64-Bit Server VM,text,,2026-05-19,metric.java_vm_name.md_fa9441aade153734,実行情報,Java VM name,その他,,,,,Java VM name
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_os_name,OS name,Mac OS X,text,,2026-05-19,metric.os_name.md_7c64673fe737e493,実行情報,OS name,その他,,,,,OS name
Stepwise Delayed DUC,EXCEPTION,stepwise_delayed GR(1) synthesis was losing for Stepwise_UpdCont_T1.,Run,run_os_arch,OS arch,x86_64,text,,2026-05-19,metric.os_arch.md_10a960f2075adcd3,実行情報,OS arch,その他,,,,,OS arch
