mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Stepwise Delayed DUC,SUCCESS,,Run,mode,mode,Stepwise Delayed DUC,text,,2026-08-01-memory-v2,metric.mode.md_302e25dcccc715fd,実行情報,mode,その他,,,,,mode
Stepwise Delayed DUC,SUCCESS,,Run,result,result,SUCCESS,text,,2026-08-01-memory-v2,metric.result.md_940b2271e955a64c,実行情報,result,その他,,,,,result
Stepwise Delayed DUC,SUCCESS,,Run,failure_reason,failure reason,,text,,2026-08-01-memory-v2,metric.failure_reason.md_dae5e183426e3fb0,実行情報,failure reason,その他,,,,,failure reason
Stepwise Delayed DUC,SUCCESS,,Run,run_allowed_threads,allowed threads,24,threads,,2026-08-01-memory-v2,metric.threads.md_0ac703ba137ada16,実行情報,threads,その他,,,,,threads
Stepwise Delayed DUC,SUCCESS,,Run,run_available_processors,available processors,24,processors,,2026-08-01-memory-v2,metric.processors.md_53423107c2c5452b,実行情報,processors,その他,,,,,processors
Stepwise Delayed DUC,SUCCESS,,Run,run_jvm_max_heap,JVM max heap,236223201280,B,,2026-08-01-memory-v2,metric.max_value.md_fa0d69ddd85f4b60,実行情報,最大値,その他,,,,,最大値
Stepwise Delayed DUC,SUCCESS,,Run,run_java_version,Java version,18.0.1.1,text,,2026-08-01-memory-v2,metric.java_version.md_9bd87f936cb17dbc,実行情報,Java version,その他,,,,,Java version
Stepwise Delayed DUC,SUCCESS,,Run,run_evaluation_profile,evaluation profile,paper,text,,2026-08-01-memory-v2,metric.evaluation_profile.md_e7390a1d78f37baa,実行情報,evaluation profile,その他,,,,,evaluation profile
Stepwise Delayed DUC,SUCCESS,,Run,run_java_vm_name,Java VM name,Java HotSpot(TM) 64-Bit Server VM,text,,2026-08-01-memory-v2,metric.java_vm_name.md_3c6ce4bbe907625e,実行情報,Java VM name,その他,,,,,Java VM name
Stepwise Delayed DUC,SUCCESS,,Run,run_os_name,OS name,Windows 10,text,,2026-08-01-memory-v2,metric.os_name.md_76febb7dd0d266c9,実行情報,OS name,その他,,,,,OS name
Stepwise Delayed DUC,SUCCESS,,Run,run_os_arch,OS arch,amd64,text,,2026-08-01-memory-v2,metric.os_arch.md_fbc10e30210757d8,実行情報,OS arch,その他,,,,,OS arch
Stepwise Delayed DUC,SUCCESS,,メモリ使用量チェックポイント,auto_36bd60e5_current_heap,合成開始時 / 現在ヒープ,8671688,B,,2026-08-01-memory-v2,memory.b.md_7f664d9451ded8c1,メモリ使用量,B,メモリ,,,,,B
